Case,Symbol,K_swing,N_bos,LookbackInternal,M_retest,EqTol,BOSBufferPoints,UseKillzones,UseRoundNumber,RNDelta,RiskPerTradePct,SL_BufferUSD,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,TimeStopMinutes,MinProgressR,MaxSpreadUSD,MaxOpenPositions,UsePendingRetest,RetestOffsetUSD,PendingExpirySec,CooldownSec,ATRScalingPeriod,SL_ATR_Mult,Retest_ATR_Mult,MaxSpread_ATR_Mult,RNDelta_ATR_Mult,PendingExpiryMinutes,UseHTFFilter,HTF_EMA_Period,EntryOffsetPips
66,XAUUSD,50,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.5
67,XAUUSD,55,7,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.0,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
68,XAUUSD,55,7,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.0,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.1
69,XAUUSD,55,7,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.0,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.2
70,XAUUSD,55,7,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.0,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.3
71,XAUUSD,55,7,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.0,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.4
72,XAUUSD,55,7,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.0,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.5
73,XAUUSD,45,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.2,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
74,XAUUSD,45,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.2,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.1
75,XAUUSD,45,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.2,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.2
76,XAUUSD,45,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.2,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.3
77,XAUUSD,45,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.2,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.4
78,XAUUSD,45,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.2,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.5
79,XAUUSD,60,8,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
80,XAUUSD,60,8,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.1
81,XAUUSD,60,8,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.2
82,XAUUSD,60,8,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.3
83,XAUUSD,60,8,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.4
84,XAUUSD,60,8,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.5
85,XAUUSD,65,7,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,4.0,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.0
86,XAUUSD,50,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.3,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,20,0.2
87,XAUUSD,50,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,20,0.2
88,XAUUSD,50,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.8,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,20,0.2
89,XAUUSD,50,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.3,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.2
90,XAUUSD,50,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.2
91,XAUUSD,50,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.8,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,50,0.2
92,XAUUSD,50,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.3,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,100,0.2
93,XAUUSD,50,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,100,0.2
94,XAUUSD,50,6,12,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.8,0.6*pip,1.0,2.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.6,0.25,0.15,0.4,120,true,100,0.2
95,XAUUSD,45,5,10,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,2.8,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.60,0.25,0.15,0.40,120,true,50,0.1
96,XAUUSD,65,8,16,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.8,0.6*pip,1.0,4.2,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.60,0.25,0.15,0.40,120,true,100,0.3
97,XAUUSD,40,5,10,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.3,0.6*pip,1.0,2.0,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.60,0.25,0.15,0.40,120,true,20,0.4
98,XAUUSD,70,9,16,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,4.5,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.60,0.25,0.15,0.40,120,true,50,0.5
99,XAUUSD,52,6,14,3,0.2*pip,2.0*pipPoints,true,true,0.3*pip,0.5,0.6*pip,1.0,3.2,0.8,50,5,0.5,0.5*pip,1,false,0.07*pip,60,0,14,0.60,0.25,0.15,0.40,120,true,75,0.25
