PresetID,Symbol,K_swing,N_bos,M_retest,EqTol_pips,UseRoundNumber,RNDelta_pips,UseKillzones,RiskPerTradePct,TrailMode,SL_Buffer_pips,BOSBuffer_pips,UsePendingRetest,RetestOffset_pips,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,UsePyramid,MaxAdds,AddSizeFactor,AddSpacing_pips,MaxOpenPositions,TimeStopMinutes,MinProgressR,Comment
687,EURUSD,70,6,4,1.5,1,3,1,0.5,2,10,1.5,0,1.5,1,2,1,50,0,2,0.5,5,1,5,0.5,
688,EURUSD,40,8,3,2,0,2,0,0.3,1,12,2,1,2,1.2,2,0.8,60,1,2,0.75,5,1,5,0.5,
689,EURUSD,50,7,4,2.5,1,3,1,0.4,2,6,2,0,2.5,1,2.5,1,40,0,2,0.5,4,1,5,0.5,
690,EURUSD,60,6,3,3,0,2,0,0.4,1,8,2,1,1.5,1.2,3,0.8,50,1,2,0.75,3,1,5,0.5,
691,EURUSD,70,8,4,1.5,1,3,1,0.5,2,10,1,0,2,1,2,0.6,60,0,2,0.5,3,1,5,0.5,
692,EURUSD,40,7,3,2,0,2,0,0.3,1,12,1,1,2.5,1.2,2.5,0.8,40,1,2,0.75,5,1,5,0.5,
693,EURUSD,50,6,4,2.5,1,3,1,0.3,2,6,1,0,1.5,1,3,0.6,50,0,2,0.5,5,1,5,0.5,
694,EURUSD,60,8,3,3,0,2.5,0,0.4,1,8,1.5,1,1.5,1.2,2,1,60,1,2,0.75,4,1,5,0.5,
695,EURUSD,70,7,4,1.5,1,3,1,0.5,2,10,1.5,0,2,1,2.5,0.8,40,0,2,0.5,4,1,5,0.5,
696,EURUSD,40,7,3,2,0,2.5,0,0.3,1,12,1.5,1,2.5,1.2,3,1,50,1,2,0.75,3,1,5,0.5,
697,EURUSD,50,6,4,2.5,1,3,1,0.3,2,6,2,0,1.5,1,2,0.8,60,0,2,0.5,3,1,5,0.5,
698,EURUSD,60,8,3,3,0,2.5,0,0.4,1,8,2,1,2,1.2,2,0.6,40,1,2,0.75,5,1,5,0.5,
699,EURUSD,70,7,4,1.5,1,3,1,0.5,2,10,2,0,2.5,1,2.5,0.8,50,0,1,0.5,5,1,5,0.5,
700,EURUSD,40,6,3,2,0,2.5,0,0.5,1,12,1,1,1.5,1.2,3,0.6,60,1,1,0.75,4,1,5,0.5,
701,EURUSD,50,8,4,2.5,1,3,1,0.3,2,6,1,0,2,1,2,1,40,0,1,0.5,3,1,5,0.5,
702,EURUSD,60,7,3,3,0,2.5,0,0.4,1,8,1,1,2.5,1.2,2.5,0.8,50,1,1,0.75,3,1,5,0.5,
703,EURUSD,70,6,4,1.5,1,3,1,0.4,2,10,1.5,0,1.5,1,3,1,60,0,1,0.5,5,1,5,0.5,
704,EURUSD,40,8,3,2,0,2.5,0,0.5,1,12,1.5,1,1.5,1.2,2,0.8,40,1,1,0.75,5,1,5,0.5,
705,EURUSD,50,7,4,2.5,1,3,1,0.3,2,6,1.5,0,2,1,2.5,0.6,50,0,1,0.5,4,1,5,0.5,
706,EURUSD,60,6,3,3,0,2.5,0,0.3,1,8,2,1,2.5,1.5,3,0.8,60,1,1,0.75,4,1,5,0.5,
707,EURUSD,70,6,4,1.5,1,3,1,0.4,2,10,2,0,1.5,1,2,0.6,40,0,1,0.5,3,1,5,0.5,
708,EURUSD,40,8,3,2,0,2.5,0,0.5,1,12,1,1,2,1.5,2,1,50,1,1,0.75,3,1,5,0.5,
709,EURUSD,50,7,4,2.5,1,3,1,0.3,2,6,1,0,2.5,1,2.5,0.6,60,0,1,0.5,5,1,5,0.5,
710,EURUSD,60,6,3,3,0,2.5,0,0.3,1,8,1,1,1.5,1.5,3,1,40,1,1,0.75,5,1,5,0.5,
711,EURUSD,70,8,4,1.5,1,3,1,0.4,2,10,1.5,0,2,1,2,0.8,50,0,0,0.5,4,1,5,0.5,
712,EURUSD,40,7,3,2,0,2.5,0,0.5,1,12,1.5,1,2.5,1.5,2.5,0.6,60,1,0,0.75,3,1,5,0.5,
713,EURUSD,50,6,4,2.5,1,3,1,0.5,2,6,1.5,0,1.5,1,3,0.8,60,0,0,0.5,3,1,5,0.5,
714,EURUSD,60,8,3,3,0,2.5,0,0.3,1,8,2,1,1.5,1.5,2,0.6,40,1,0,0.75,5,1,5,0.5,
715,EURUSD,70,7,4,1.5,1,3,1,0.4,2,10,2,0,2,1,2.5,1,50,0,0,0.5,5,1,5,0.5,
716,EURUSD,40,6,3,2,0,2.5,0,0.4,1,12,2,1,2.5,1.5,3,0.6,60,1,0,0.75,4,1,5,0.5,
717,EURUSD,50,8,4,2.5,1,3,1,0.5,2,6,1,0,1.5,1,2,1,40,0,0,0.5,4,1,5,0.5,
718,EURUSD,60,8,3,3,0,2.5,0,0.3,1,8,1,1,2,1.5,2.5,0.8,50,1,0,0.75,3,1,5,0.5,
719,EURUSD,70,7,4,1.5,1,3,1,0.3,2,10,1,0,2.5,1,2.5,1,60,0,0,0.5,3,1,5,0.5,
720,EURUSD,40,6,3,2,0,2.5,0,0.4,1,12,1.5,1,1.5,1.5,3,0.8,40,1,0,0.75,5,1,5,0.5,
721,EURUSD,50,8,4,2.5,1,3,1,0.5,2,6,1.5,0,2,1,2,0.6,50,0,0,0.5,5,1,5,0.5,
722,EURUSD,60,7,3,3,0,2.5,0,0.3,1,8,1.5,1,2.5,1.5,2.5,1,60,1,0,0.75,4,1,5,0.5,
